"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"UF","11","Rondônia","1777225"
"UF","12","Acre","881935"
"UF","13","Amazonas","4144597"
"UF","14","Roraima","605761"
"UF","15","Pará","8602865"
"UF","16","Amapá","845731"
"UF","17","Tocantins","1572866"
"UF","21","Maranhão","7075181"
"UF","22","Piauí","3273227"
"UF","23","Ceará","9132078"
"UF","24","Rio Grande do Norte","3506853"
"UF","25","Paraíba","4018127"
"UF","26","Pernambuco","9557071"
"UF","27","Alagoas","3337357"
"UF","28","Sergipe","2298696"
"UF","29","Bahia","14873064"
"UF","31","Minas Gerais","21168791"
"UF","32","Espírito Santo","4018650"
"UF","33","Rio de Janeiro","17264943"
"UF","35","São Paulo","45919049"
"UF","41","Paraná","11433957"
"UF","42","Santa Catarina","7164788"
"UF","43","Rio Grande do Sul","11377239"
"UF","50","Mato Grosso do Sul","2778986"
"UF","51","Mato Grosso","3484466"
"UF","52","Goiás","7018354"
"UF","53","Distrito Federal","3015268"
"MU","1100015","Alta Floresta D'Oeste (RO)","22945"
"MU","1100023","Ariquemes (RO)","107863"
"MU","1100031","Cabixi (RO)","5312"
"MU","1100049","Cacoal (RO)","85359"
"MU","1100056","Cerejeiras (RO)","16323"
"MU","1100064","Colorado do Oeste (RO)","15882"
"MU","1100072","Corumbiara (RO)","7391"
"MU","1100080","Costa Marques (RO)","18331"
"MU","1100098","Espigão D'Oeste (RO)","32374"
"MU","1100106","Guajará-Mirim (RO)","46174"
"MU","1100114","Jaru (RO)","51775"
"MU","1100122","Ji-Paraná (RO)","128969"
"MU","1100130","Machadinho D'Oeste (RO)","39991"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","20474"
"MU","1100155","Ouro Preto do Oeste (RO)","36035"
"MU","1100189","Pimenta Bueno (RO)","36660"
"MU","1100205","Porto Velho (RO)","529544"
"MU","1100254","Presidente Médici (RO)","18986"
"MU","1100262","Rio Crespo (RO)","3764"
"MU","1100288","Rolim de Moura (RO)","55058"
"MU","1100296","Santa Luzia D'Oeste (RO)","6495"
"MU","1100304","Vilhena (RO)","99854"
"MU","1100320","São Miguel do Guaporé (RO)","23005"
"MU","1100338","Nova Mamoré (RO)","30583"
"MU","1100346","Alvorada D'Oeste (RO)","14411"
"MU","1100379","Alto Alegre dos Parecis (RO)","13241"
"MU","1100403","Alto Paraíso (RO)","21428"
"MU","1100452","Buritis (RO)","39654"
"MU","1100502","Novo Horizonte do Oeste (RO)","8538"
"MU","1100601","Cacaulândia (RO)","6230"
"MU","1100700","Campo Novo de Rondônia (RO)","14139"
"MU","1100809","Candeias do Jamari (RO)","26693"
"MU","1100908","Castanheiras (RO)","3052"
"MU","1100924","Chupinguaia (RO)","11182"
"MU","1100940","Cujubim (RO)","25215"
"MU","1101005","Governador Jorge Teixeira (RO)","7767"
"MU","1101104","Itapuã do Oeste (RO)","10458"
"MU","1101203","Ministro Andreazza (RO)","9660"
"MU","1101302","Mirante da Serra (RO)","10947"
"MU","1101401","Monte Negro (RO)","15852"
"MU","1101435","Nova União (RO)","6970"
"MU","1101450","Parecis (RO)","6074"
"MU","1101468","Pimenteiras do Oeste (RO)","2169"
"MU","1101476","Primavera de Rondônia (RO)","2856"
"MU","1101484","São Felipe D'Oeste (RO)","5172"
"MU","1101492","São Francisco do Guaporé (RO)","20266"
"MU","1101500","Seringueiras (RO)","11856"
"MU","1101559","Teixeirópolis (RO)","4308"
"MU","1101609","Theobroma (RO)","10444"
"MU","1101708","Urupá (RO)","11467"
"MU","1101757","Vale do Anari (RO)","11204"
"MU","1101807","Vale do Paraíso (RO)","6825"
"MU","1200013","Acrelândia (AC)","15256"
"MU","1200054","Assis Brasil (AC)","7417"
"MU","1200104","Brasiléia (AC)","26278"
"MU","1200138","Bujari (AC)","10266"
"MU","1200179","Capixaba (AC)","11733"
"MU","1200203","Cruzeiro do Sul (AC)","88376"
"MU","1200252","Epitaciolândia (AC)","18411"
"MU","1200302","Feijó (AC)","34780"
"MU","1200328","Jordão (AC)","8317"
"MU","1200336","Mâncio Lima (AC)","18977"
"MU","1200344","Manoel Urbano (AC)","9459"
"MU","1200351","Marechal Thaumaturgo (AC)","18867"
"MU","1200385","Plácido de Castro (AC)","19761"
"MU","1200393","Porto Walter (AC)","11982"
"MU","1200401","Rio Branco (AC)","407319"
"MU","1200427","Rodrigues Alves (AC)","18930"
"MU","1200435","Santa Rosa do Purus (AC)","6540"
"MU","1200450","Senador Guiomard (AC)","23024"
"MU","1200500","Sena Madureira (AC)","45848"
"MU","1200609","Tarauacá (AC)","42567"
"MU","1200708","Xapuri (AC)","19323"
"MU","1200807","Porto Acre (AC)","18504"
"MU","1300029","Alvarães (AM)","16041"
"MU","1300060","Amaturá (AM)","11536"
"MU","1300086","Anamã (AM)","13614"
"MU","1300102","Anori (AM)","21010"
"MU","1300144","Apuí (AM)","21973"
"MU","1300201","Atalaia do Norte (AM)","19921"
"MU","1300300","Autazes (AM)","39565"
"MU","1300409","Barcelos (AM)","27502"
"MU","1300508","Barreirinha (AM)","32041"
"MU","1300607","Benjamin Constant (AM)","42984"
"MU","1300631","Beruri (AM)","19679"
"MU","1300680","Boa Vista do Ramos (AM)","19207"
"MU","1300706","Boca do Acre (AM)","34308"
"MU","1300805","Borba (AM)","41161"
"MU","1300839","Caapiranga (AM)","13081"
"MU","1300904","Canutama (AM)","15629"
"MU","1301001","Carauari (AM)","28294"
"MU","1301100","Careiro (AM)","37869"
"MU","1301159","Careiro da Várzea (AM)","30225"
"MU","1301209","Coari (AM)","85097"
"MU","1301308","Codajás (AM)","28637"
"MU","1301407","Eirunepé (AM)","35273"
"MU","1301506","Envira (AM)","20033"
"MU","1301605","Fonte Boa (AM)","17609"
"MU","1301654","Guajará (AM)","16678"
"MU","1301704","Humaitá (AM)","55080"
"MU","1301803","Ipixuna (AM)","29689"
"MU","1301852","Iranduba (AM)","48296"
"MU","1301902","Itacoatiara (AM)","101337"
"MU","1301951","Itamarati (AM)","7851"
"MU","1302009","Itapiranga (AM)","9148"
"MU","1302108","Japurá (AM)","2755"
"MU","1302207","Juruá (AM)","14712"
"MU","1302306","Jutaí (AM)","14317"
"MU","1302405","Lábrea (AM)","46069"
"MU","1302504","Manacapuru (AM)","97377"
"MU","1302553","Manaquiri (AM)","32105"
"MU","1302603","Manaus (AM)","2182763"
"MU","1302702","Manicoré (AM)","55751"
"MU","1302801","Maraã (AM)","18224"
"MU","1302900","Maués (AM)","63905"
"MU","1303007","Nhamundá (AM)","21173"
"MU","1303106","Nova Olinda do Norte (AM)","37378"
"MU","1303205","Novo Airão (AM)","19454"
"MU","1303304","Novo Aripuanã (AM)","25644"
"MU","1303403","Parintins (AM)","114273"
"MU","1303502","Pauini (AM)","19426"
"MU","1303536","Presidente Figueiredo (AM)","36279"
"MU","1303569","Rio Preto da Eva (AM)","33347"
"MU","1303601","Santa Isabel do Rio Negro (AM)","25156"
"MU","1303700","Santo Antônio do Içá (AM)","21602"
"MU","1303809","São Gabriel da Cachoeira (AM)","45564"
"MU","1303908","São Paulo de Olivença (AM)","39299"
"MU","1303957","São Sebastião do Uatumã (AM)","14020"
"MU","1304005","Silves (AM)","9171"
"MU","1304062","Tabatinga (AM)","65844"
"MU","1304104","Tapauá (AM)","17156"
"MU","1304203","Tefé (AM)","59849"
"MU","1304237","Tonantins (AM)","18755"
"MU","1304260","Uarini (AM)","13540"
"MU","1304302","Urucará (AM)","16256"
"MU","1304401","Urucurituba (AM)","23065"
"MU","1400027","Amajari (RR)","12796"
"MU","1400050","Alto Alegre (RR)","15510"
